"ensembl","entrez","hgnc_symbol","P13555_106","P13555_109","P13555_110","P13555_116","P13555_118","P13555_119","P13555_120","P13555_210","P13555_211","P13555_212"
"ENSG00000105993",10049,"DNAJB6",6.23381345068522,5.98469086696294,6.86734097489015,6.72168326146425,6.62867879394172,6.83350909993529,6.57708885677293,5.63570856158434,6.13939243728111,6.54020114131362
"ENSG00000183134",11251,"PTGDR2",7.96341156689296,7.55675051091828,7.72116808378469,7.86908884285744,7.81875383889684,7.74105345091413,7.97252967626525,8.42829149631491,8.43738913581467,8.04147811327045
"ENSG00000219200",440400,"RNASEK",4.91667051133938,5.08409300646659,5.07342482916069,5.25202291813291,5.1397380760095,4.94326711770608,4.92789986858822,4.77880194166747,4.80349957968967,4.78036575351024
"ENSG00000143127",8515,"ITGA10",5.60801326876901,5.65725071058591,5.3701310693898,5.52337941333484,5.62542031032689,5.25750113319982,5.21887707152116,5.76352842650735,5.66723333589475,5.56951132867431
"ENSG00000128250",5988,"RFPL1",5.97706275737285,5.91129601872617,6.14740543636066,6.03576842849384,6.05856773942189,6.23633439697993,6.23041933390007,5.56541656297302,6.03807265202381,6.19284156806209
"ENSG00000153347",153643,"FAM81B",5.8243037804277,6.42741673115778,6.02026690898822,5.97537556384824,5.26100236490234,4.83207515309658,4.92789986858822,5.36377182930422,5.86777549634271,5.27181221872882
"ENSG00000128908",54617,"INO80",5.00582285912278,4.98495933069681,4.93930625600087,4.33057497578978,4.66451533263707,4.68607714955073,4.63083304763756,4.64815398230621,4.33057497578978,4.78036575351024
"ENSG00000124226",55905,"RNF114",4.33057497578978,4.71053199576477,4.33057497578978,6.83703600841531,6.31374220739738,6.13077650060649,5.21887707152116,4.33057497578978,4.33057497578978,7.28485434007751
"ENSG00000164746",136288,"C7orf57",5.43353803352245,5.08409300646659,5.07342482916069,5.18567278010657,5.07080979827573,5.11771503819928,4.84878597012825,5.36377182930422,5.37016909039387,5.49367925421877
"ENSG00000184560",201243,"C17orf74",5.1539313635356,4.98495933069681,5.07342482916069,5.25202291813291,5.3665445345955,4.94326711770608,5.39108663382659,4.96196522107549,5.14261493160186,5.45341597542655
"ENSG00000221464",100302203,"MIR1271",7.84075227757679,7.75913252818739,7.31734781569559,7.52033480503726,7.59236245334796,7.39221941554942,7.57216536861894,7.40948815265956,7.4901337451412,7.72676755943599
"ENSG00000104497",64089,"SNX16",4.67050226832838,5.38475506748666,4.76259711294854,5.18567278010657,4.90643818311714,4.83207515309658,4.33057497578978,5.21664631009443,5.37016909039387,5.21966779382149
