"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"2749","73","GO Biological Process","","Regulation of multicellular organismal process","1.7E-26","NFKB1|SPI1|CYP27B1|EGR1|EGR2|IRF1|SOX9|DPF2|RARA|SMAD2|MAPK3|PPM1F|EPAS1|STAT3|TP63|SRF|KAT6A|GATA6|TP53|REL|TLX3|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|REST|EZH2|GSK3B|SP1|PRKCD|RARB|SMAD3|ATF4|MYB|JARID2|E2F1|GATA2|DUSP9|GABPA|KDM5B|JUN|RUNX2|NCOA3|ZC3H12A|NR5A1|WT1|GATA3|SRY|ETS1|POU2AF1|NR2F2|NFE2L2|RELA|PPARA|RARG|MITF|HIPK1|CBFB|PTPRG|HSF1|LATS1|HIF1A|AKT1|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|CTNNB1|TFAP2A","45910","46254|46314|46101|46296|46251|46329|46239|46050|46323|46113|46029|46365|46386|46305|46128|46368|46185|46278|46335|46005|46047|46194|46272|46053|46317|46002|46014|46122|46026|46338|46182|46008|46287|46215|46197|46332|46275|46020|46044|46359|46065|46344|46302|46260|46263|46350|46320|46242|46125|46023|46290|46236|46077|46221|46200|46119|46107|46146|46149|46269|46017|46203|45999|46071|46374|46170|46104|46143|46140|46191|46377|46233|46056","5.41E-29","","GO:0051239","2.576955107862173","0"
"5657","99","GO Biological Process","","Developmental process","2.99E-26","CEBPE|USF2|NFKB1|SPI1|CYP27B1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|SMAD2|CSNK2A2|MAPK3|EPAS1|STAT3|TP63|CASP6|SRF|KAT6A|JDP2|GATA6|TP53|TLX3|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|SP3|REST|EZH2|GSK3B|PGR|RARB|SMAD3|PTPRB|ATF4|MYB|JARID2|E2F1|GATA2|GABPA|ETS2|KDM5B|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|STK40|ATRX|NR5A1|TFDP1|SP2|SF1|KLF5|WT1|GATA3|E2F4|SRY|ETS1|POU2AF1|NR2F2|NFATC2|NFE2L2|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|TNIK|HIPK1|CBFB|PTPRG|UHMK1|FLI1|LATS1|HIF1A|HNF1A|SP7|AKT1|MEF2A|CEBPG|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|ENC1|TFAP2A","45910","46380|46371|46254|46314|46101|46245|46296|46206|46251|46329|46239|46050|46323|46356|46113|46080|46029|46386|46305|46128|46167|46368|46185|46155|46278|46335|46047|46194|46272|46053|46317|46002|46014|46218|46122|46026|46338|46227|46287|46215|46173|46197|46332|46275|46020|46044|46065|46032|46344|46098|46302|46260|46263|46248|46116|46350|46011|46299|46320|46341|46224|46110|46257|46242|46125|46362|46023|46290|46236|46077|46347|46221|46200|46119|46107|46311|46146|46353|46209|46149|46269|46017|46383|46041|45999|46071|46083|46059|46374|46170|46143|46140|46191|46377|46308|46233|46179|46131|46056","9.72E-29","","GO:0032502","2.552432881167557","0"
"1215","53","Reactome Pathways","","Generic Transcription Pathway","3.58E-26","NFKB1|SPI1|SOX9|RARA|NR0B2|SMAD2|CSNK2A2|MAPK3|TP63|CASP6|SRF|KAT6A|TP53|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|REST|EZH2|GSK3B|PGR|SP1|RARB|SMAD3|MYB|E2F1|GATA2|NFYA|KDM5B|JUN|RUNX2|YBX1|NR5A1|TFDP1|GATA3|E2F4|NFATC2|RELA|PPARA|RARG|HIPK1|CBFB|SP7|AKT1|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|TFAP2A","45910","46254|46314|46239|46323|46356|46113|46080|46029|46128|46167|46368|46185|46335|46194|46272|46053|46317|46002|46014|46122|46026|46338|46227|46182|46287|46215|46332|46020|46044|46134|46344|46302|46260|46248|46320|46341|46125|46362|46347|46200|46119|46107|46149|46269|46059|46374|46140|46191|46377|46308|46233|46179|46056","1.57E-29","","HSA-212436","2.5446116973356125","0"
"2492","69","GO Biological Process","","Regulation of developmental process","1.38E-25","NFKB1|SPI1|CYP27B1|NANOG|EGR2|IRF1|SOX9|DPF2|RARA|SMAD2|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|TLX3|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|REST|STAT2|EZH2|GSK3B|SP1|RARB|SMAD3|ATF4|MYB|JARID2|E2F1|GATA2|DUSP9|GABPA|KDM5B|RUNX2|NCOA3|YBX1|ZC3H12A|NR5A1|KLF5|WT1|GATA3|SRY|ETS1|NFATC2|NFE2L2|PPARA|RARG|NFATC1|MITF|TNIK|HIPK1|CBFB|HSF1|LATS1|HIF1A|SP7|AKT1|GTF2I|RIOX1|NR1H3|MYC|CTNNB1|TFAP2A","45910","46254|46314|46101|46245|46251|46329|46239|46050|46323|46113|46305|46128|46368|46185|46155|46278|46335|46047|46194|46272|46053|46317|46002|46014|46122|46038|46026|46338|46182|46287|46215|46197|46332|46275|46020|46044|46359|46065|46344|46260|46263|46248|46350|46320|46257|46242|46125|46023|46290|46347|46221|46119|46107|46311|46146|46209|46149|46269|46203|45999|46071|46059|46374|46104|46326|46140|46191|46233|46056","4.67E-28","","GO:0050793","2.486012091359876","0"
"1337","54","Reactome Pathways","","RNA Polymerase II Transcription","1.68E-25","NFKB1|SPI1|SOX9|RARA|NR0B2|SMAD2|CSNK2A2|MAPK3|TP63|CASP6|SRF|KAT6A|TP53|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|REST|EZH2|GSK3B|PGR|SP1|RARB|SMAD3|MYB|E2F1|GATA2|NFYA|KDM5B|POU2F1|JUN|RUNX2|YBX1|NR5A1|TFDP1|GATA3|E2F4|NFATC2|RELA|PPARA|RARG|HIPK1|CBFB|SP7|AKT1|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|TFAP2A","45910","46254|46314|46239|46323|46356|46113|46080|46029|46128|46167|46368|46185|46335|46194|46272|46053|46317|46002|46014|46122|46026|46338|46227|46182|46287|46215|46332|46020|46044|46134|46344|46089|46302|46260|46248|46320|46341|46125|46362|46347|46200|46119|46107|46149|46269|46059|46374|46140|46191|46377|46308|46233|46179|46056","1.47E-28","","HSA-73857","2.4774690718274135","0"
"114","24","GO Molecular Function","","Transcription coregulator binding","2.29E-25","NFKB1|AHR|RARA|EPAS1|GATA6|RUNX1|FOS|EZH2|PGR|SP1|SMAD3|GATA2|NR5A1|GATA3|ETS1|NFE2L2|RELA|PPARA|NFATC1|HMGA1|HIF1A|HNF1A|MYC|CTNNB1","45910","46254|46206|46323|46386|46278|46194|46002|46026|46227|46182|46215|46044|46320|46125|46290|46221|46200|46119|46311|46152|46071|46083|46191|46233","1.02E-27","","GO:0001221","2.4640164517660113","0"
"4209","86","GO Biological Process","","Multicellular organism development","3.28E-25","CEBPE|SPI1|CYP27B1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|SMAD2|CSNK2A2|MAPK3|EPAS1|STAT3|TP63|SRF|KAT6A|GATA6|TP53|TLX3|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|SP3|REST|EZH2|GSK3B|PGR|RARB|SMAD3|PTPRB|ATF4|MYB|JARID2|E2F1|GATA2|GABPA|ETS2|KDM5B|NFKB2|JUN|RUNX2|YBX1|MTF1|ZC3H12A|STK40|ATRX|NR5A1|SF1|KLF5|WT1|GATA3|SRY|POU2AF1|NR2F2|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|TNIK|HIPK1|CBFB|PTPRG|UHMK1|FLI1|LATS1|HIF1A|HNF1A|SP7|AKT1|MEF2A|CEBPG|MYC|NR4A3|PITX2|CTNNB1|DLX5|ENC1|TFAP2A","45910","46380|46314|46101|46245|46296|46206|46251|46329|46239|46050|46323|46113|46080|46029|46386|46305|46128|46368|46185|46278|46335|46047|46194|46272|46053|46317|46002|46014|46218|46122|46026|46338|46227|46287|46215|46173|46197|46332|46275|46020|46044|46065|46032|46344|46098|46302|46260|46248|46116|46350|46011|46299|46320|46110|46257|46242|46125|46023|46236|46077|46200|46119|46107|46311|46146|46353|46209|46149|46269|46017|46383|46041|45999|46071|46083|46059|46374|46170|46143|46191|46377|46308|46233|46179|46131|46056","1.13E-27","","GO:0007275","2.448412615628832","0"
"54","20","GO Biological Process","","Positive regulation of miRNA metabolic process","5.87E-25","NFKB1|SPI1|EGR1|STAT3|SRF|TP53|SMAD1|FOS|SMAD3|MYB|GATA2|JUN|ZC3H12A|KLF5|WT1|GATA3|ETS1|RELA|HIF1A|MYC","45910","46254|46314|46296|46305|46368|46335|46317|46002|46215|46332|46044|46302|46350|46257|46242|46125|46290|46200|46071|46191","2.06E-27","","GO:2000630","2.4231361898752386","0"
"5117","93","GO Biological Process","","Anatomical structure development","1.11E-24","CEBPE|USF2|NFKB1|SPI1|CYP27B1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|SMAD2|CSNK2A2|MAPK3|EPAS1|STAT3|TP63|CASP6|SRF|KAT6A|GATA6|TP53|TLX3|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|SP3|REST|EZH2|GSK3B|PGR|RARB|SMAD3|PTPRB|ATF4|MYB|JARID2|E2F1|GATA2|GABPA|ETS2|KDM5B|NFKB2|JUN|RUNX2|YBX1|MTF1|ZC3H12A|STK40|ATRX|NR5A1|TFDP1|SF1|KLF5|WT1|GATA3|E2F4|SRY|POU2AF1|NR2F2|NFATC2|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|TNIK|HIPK1|CBFB|PTPRG|UHMK1|FLI1|LATS1|HIF1A|HNF1A|SP7|AKT1|MEF2A|CEBPG|MYC|NR4A3|PITX2|CTNNB1|DLX5|ENC1|TFAP2A","45910","46380|46371|46254|46314|46101|46245|46296|46206|46251|46329|46239|46050|46323|46356|46113|46080|46029|46386|46305|46128|46167|46368|46185|46278|46335|46047|46194|46272|46053|46317|46002|46014|46218|46122|46026|46338|46227|46287|46215|46173|46197|46332|46275|46020|46044|46065|46032|46344|46098|46302|46260|46248|46116|46350|46011|46299|46320|46341|46110|46257|46242|46125|46362|46023|46236|46077|46347|46200|46119|46107|46311|46146|46353|46209|46149|46269|46017|46383|46041|45999|46071|46083|46059|46374|46170|46143|46191|46377|46308|46233|46179|46131|46056","3.95E-27","","GO:0048856","2.3954677021213344","0"
"1476","55","Reactome Pathways","","Gene expression (Transcription)","1.38E-24","NFKB1|SPI1|SOX9|RARA|NR0B2|SMAD2|CSNK2A2|MAPK3|TP63|CASP6|SRF|KAT6A|TP53|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|REST|EZH2|GSK3B|PGR|SP1|RARB|SMAD3|MYB|JARID2|E2F1|GATA2|NFYA|KDM5B|POU2F1|JUN|RUNX2|YBX1|NR5A1|TFDP1|GATA3|E2F4|NFATC2|RELA|PPARA|RARG|HIPK1|CBFB|SP7|AKT1|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|TFAP2A","45910","46254|46314|46239|46323|46356|46113|46080|46029|46128|46167|46368|46185|46335|46194|46272|46053|46317|46002|46014|46122|46026|46338|46227|46182|46287|46215|46332|46275|46020|46044|46134|46344|46089|46302|46260|46248|46320|46341|46125|46362|46347|46200|46119|46107|46149|46269|46059|46374|46140|46191|46377|46308|46233|46179|46056","1.81E-27","","HSA-74160","2.386012091359876","0"
"3246","76","GO Biological Process","","Animal organ development","1.51E-24","CEBPE|USF2|NFKB1|SPI1|CYP27B1|EGR1|EGR2|IRF1|SOX9|RARA|NR0B2|SMAD2|CSNK2A2|MAPK3|EPAS1|STAT3|TP63|SRF|KAT6A|GATA6|TP53|TLX3|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|EZH2|GSK3B|PGR|RARB|SMAD3|ATF4|MYB|JARID2|E2F1|GATA2|KDM5B|NFKB2|JUN|RUNX2|STK40|ATRX|NR5A1|SF1|KLF5|WT1|GATA3|E2F4|POU2AF1|NR2F2|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|HIPK1|CBFB|PTPRG|FLI1|LATS1|HIF1A|HNF1A|SP7|AKT1|MEF2A|CEBPG|MYC|NR4A3|PITX2|CTNNB1|DLX5|TFAP2A","45910","46380|46371|46254|46314|46101|46296|46251|46329|46239|46323|46356|46113|46080|46029|46386|46305|46128|46368|46185|46278|46335|46047|46194|46272|46053|46317|46002|46218|46122|46026|46338|46227|46287|46215|46197|46332|46275|46020|46044|46344|46098|46302|46260|46011|46299|46320|46110|46257|46242|46125|46362|46236|46077|46200|46119|46107|46311|46146|46353|46149|46269|46017|46041|45999|46071|46083|46059|46374|46170|46143|46191|46377|46308|46233|46179|46056","5.48E-27","","GO:0048513","2.382102305270683","0"
"1582","56","GO Biological Process","","Regulation of cell differentiation","1.63E-24","NFKB1|SPI1|CYP27B1|NANOG|EGR2|IRF1|SOX9|DPF2|RARA|SMAD2|STAT3|TP63|SRF|JDP2|GATA6|TP53|TLX3|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|REST|EZH2|GSK3B|RARB|SMAD3|ATF4|MYB|E2F1|GATA2|GABPA|RUNX2|NCOA3|YBX1|ZC3H12A|KLF5|GATA3|ETS1|NFATC2|NFE2L2|PPARA|RARG|NFATC1|MITF|CBFB|HSF1|HIF1A|SP7|AKT1|RIOX1|NR1H3|MYC|CTNNB1|TFAP2A","45910","46254|46314|46101|46245|46251|46329|46239|46050|46323|46113|46305|46128|46368|46155|46278|46335|46047|46194|46272|46053|46317|46002|46014|46122|46026|46338|46287|46215|46197|46332|46020|46044|46065|46260|46263|46248|46350|46257|46125|46290|46347|46221|46119|46107|46311|46146|46269|46203|46071|46059|46374|46326|46140|46191|46233|46056","6.02E-27","","GO:0045595","2.378781239559604","0"
"2609","69","GO Biological Process","","Cellular response to chemical stimulus","1.88E-24","CEBPE|USF2|NFKB1|SPI1|EGR1|AHR|EGR2|IRF1|SOX9|RARA|SMAD2|MAPK3|PPM1F|EPAS1|STAT3|CASP6|SRF|GATA6|TP53|JUNB|CEBPB|SMAD1|FOS|PRKACA|REST|STAT2|EZH2|GSK3B|PGR|SP1|PRKCD|KLHL22|RARB|SMAD3|ATF4|JARID2|E2F1|GABPA|KDM5B|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|KLF5|WT1|GATA3|GLRX|URI1|MAPK8|NFE2L2|RELA|PPARA|RARG|HSF1|LATS1|HIF1A|HNF1A|AKT1|MEF2A|NR1H3|MYC|NR4A3|CTNNB1|DLX5|TFAP2A","45910","46380|46371|46254|46314|46296|46206|46251|46329|46239|46323|46113|46029|46365|46386|46305|46167|46368|46278|46335|46272|46053|46317|46002|46014|46122|46038|46026|46338|46227|46182|46008|46086|46287|46215|46197|46275|46020|46065|46344|46302|46260|46263|46248|46116|46350|46299|46320|46257|46242|46125|46068|46092|46284|46221|46200|46119|46107|46203|45999|46071|46083|46374|46170|46140|46191|46377|46233|46179|46056","7.06E-27","","GO:0070887","2.372584215073632","0"
"1103","48","GO Biological Process","","Cellular response to endogenous stimulus","5.12E-24","NFKB1|SPI1|EGR1|AHR|SOX9|RARA|SMAD2|MAPK3|STAT3|CASP6|GATA6|TP53|CEBPB|SMAD1|FOS|PRKACA|REST|EZH2|GSK3B|PGR|SP1|PRKCD|KLHL22|RARB|SMAD3|ATF4|E2F1|GABPA|KDM5B|JUN|RUNX2|NCOA3|NR5A1|WT1|GATA3|URI1|NFE2L2|RELA|PPARA|RARG|HSF1|LATS1|HNF1A|AKT1|NR1H3|NR4A3|CTNNB1|DLX5","45910","46254|46314|46296|46206|46239|46323|46113|46029|46305|46167|46278|46335|46053|46317|46002|46014|46122|46026|46338|46227|46182|46008|46086|46287|46215|46197|46020|46065|46344|46302|46260|46263|46320|46242|46125|46092|46221|46200|46119|46107|46203|45999|46083|46374|46140|46377|46233|46179","1.96E-26","","GO:0071495","2.329073003902417","0"
"3530","78","GO Biological Process","","Cellular developmental process","7.13E-24","CEBPE|SPI1|NANOG|EGR1|EGR2|IRF1|SOX9|RARA|SMAD2|MAPK3|EPAS1|STAT3|TP63|CASP6|SRF|KAT6A|JDP2|GATA6|TP53|TLX3|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|SP3|REST|EZH2|GSK3B|PGR|RARB|SMAD3|PTPRB|ATF4|MYB|JARID2|GATA2|GABPA|ETS2|KDM5B|NFKB2|JUN|RUNX2|NCOA3|ZC3H12A|ATRX|NR5A1|SF1|KLF5|WT1|GATA3|E2F4|SRY|ETS1|POU2AF1|NR2F2|NFATC2|PPARA|RARG|MITF|DCAF1|TNIK|HIPK1|CBFB|UHMK1|FLI1|LATS1|HIF1A|SP7|AKT1|MEF2A|CEBPG|NR1H3|NR4A3|PITX2|CTNNB1|DLX5","45910","46380|46314|46245|46296|46251|46329|46239|46323|46113|46029|46386|46305|46128|46167|46368|46185|46155|46278|46335|46047|46194|46272|46053|46317|46002|46014|46218|46122|46026|46338|46227|46287|46215|46173|46197|46332|46275|46044|46065|46032|46344|46098|46302|46260|46263|46350|46299|46320|46110|46257|46242|46125|46362|46023|46290|46236|46077|46347|46119|46107|46146|46353|46209|46149|46269|46383|46041|45999|46071|46059|46374|46170|46143|46140|46377|46308|46233|46179","2.77E-26","","GO:0048869","2.3146910470148137","0"
"1363","52","GO Biological Process","","Response to endogenous stimulus","7.52E-24","NFKB1|SPI1|CYP27B1|EGR1|AHR|EGR2|SOX9|RARA|SMAD2|MAPK3|STAT3|CASP6|SRF|GATA6|TP53|CEBPB|SMAD1|FOS|PRKACA|REST|STAT2|EZH2|GSK3B|PGR|SP1|PRKCD|KLHL22|RARB|SMAD3|ATF4|E2F1|GABPA|KDM5B|JUN|RUNX2|NCOA3|NR5A1|WT1|GATA3|URI1|NFE2L2|RELA|PPARA|RARG|HSF1|LATS1|HNF1A|AKT1|NR1H3|NR4A3|CTNNB1|DLX5","45910","46254|46314|46101|46296|46206|46251|46239|46323|46113|46029|46305|46167|46368|46278|46335|46053|46317|46002|46014|46122|46038|46026|46338|46227|46182|46008|46086|46287|46215|46197|46020|46065|46344|46302|46260|46263|46320|46242|46125|46092|46221|46200|46119|46107|46203|45999|46083|46374|46140|46377|46233|46179","2.97E-26","","GO:0009719","2.3123782159408357","0"
"3507","77","GO Biological Process","","Cell differentiation","3.01E-23","CEBPE|SPI1|NANOG|EGR1|EGR2|IRF1|SOX9|RARA|SMAD2|MAPK3|EPAS1|STAT3|TP63|CASP6|SRF|KAT6A|JDP2|GATA6|TP53|TLX3|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|SP3|REST|EZH2|GSK3B|PGR|RARB|SMAD3|PTPRB|ATF4|MYB|JARID2|GATA2|GABPA|ETS2|KDM5B|NFKB2|JUN|RUNX2|ZC3H12A|ATRX|NR5A1|SF1|KLF5|WT1|GATA3|E2F4|SRY|ETS1|POU2AF1|NR2F2|NFATC2|PPARA|RARG|MITF|DCAF1|TNIK|HIPK1|CBFB|UHMK1|FLI1|LATS1|HIF1A|SP7|AKT1|MEF2A|CEBPG|NR1H3|NR4A3|PITX2|CTNNB1|DLX5","45910","46380|46314|46245|46296|46251|46329|46239|46323|46113|46029|46386|46305|46128|46167|46368|46185|46155|46278|46335|46047|46194|46272|46053|46317|46002|46014|46218|46122|46026|46338|46227|46287|46215|46173|46197|46332|46275|46044|46065|46032|46344|46098|46302|46260|46350|46299|46320|46110|46257|46242|46125|46362|46023|46290|46236|46077|46347|46119|46107|46146|46353|46209|46149|46269|46383|46041|45999|46071|46059|46374|46170|46143|46140|46377|46308|46233|46179","1.21E-25","","GO:0030154","2.252143350440616","0"
"3867","80","GO Biological Process","","System development","6.77E-23","CEBPE|SPI1|CYP27B1|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|SMAD2|CSNK2A2|MAPK3|EPAS1|STAT3|TP63|SRF|KAT6A|GATA6|TP53|TLX3|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|SP3|REST|EZH2|GSK3B|PGR|RARB|SMAD3|PTPRB|ATF4|MYB|JARID2|E2F1|GATA2|ETS2|KDM5B|NFKB2|JUN|RUNX2|MTF1|ZC3H12A|STK40|ATRX|NR5A1|SF1|KLF5|WT1|GATA3|POU2AF1|NR2F2|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|TNIK|HIPK1|CBFB|PTPRG|UHMK1|FLI1|HIF1A|HNF1A|SP7|AKT1|MEF2A|CEBPG|MYC|PITX2|CTNNB1|DLX5|ENC1|TFAP2A","45910","46380|46314|46101|46296|46206|46251|46329|46239|46050|46323|46113|46080|46029|46386|46305|46128|46368|46185|46278|46335|46047|46194|46272|46053|46317|46002|46014|46218|46122|46026|46338|46227|46287|46215|46173|46197|46332|46275|46020|46044|46032|46344|46098|46302|46260|46116|46350|46011|46299|46320|46110|46257|46242|46125|46236|46077|46200|46119|46107|46311|46146|46353|46209|46149|46269|46017|46383|46041|46071|46083|46059|46374|46170|46143|46191|46308|46233|46179|46131|46056","2.76E-25","","GO:0048731","2.2169411331314857","0"
"2692","68","GO Biological Process","","Response to organic substance","7.43E-23","CEBPE|NFKB1|SPI1|CYP27B1|EGR1|AHR|EGR2|IRF1|SOX9|RARA|NR0B2|ATF1|SMAD2|MAPK3|STAT3|CASP6|SRF|GATA6|TP53|REL|CEBPB|SMAD1|FOS|PRKACA|REST|STAT2|EZH2|GSK3B|PGR|SP1|PRKCD|KLHL22|RARB|SMAD3|ATF4|JARID2|E2F1|GATA2|GABPA|KDM5B|JUN|RUNX2|NCOA3|YBX1|ZC3H12A|ATRX|NR5A1|KLF5|WT1|GATA3|URI1|NR2F2|MAPK8|NFE2L2|RELA|PPARA|RARG|TNIK|HSF1|LATS1|HIF1A|HNF1A|AKT1|NR1H3|MYC|NR4A3|CTNNB1|DLX5","45910","46380|46254|46314|46101|46296|46206|46251|46329|46239|46323|46356|46164|46113|46029|46305|46167|46368|46278|46335|46005|46053|46317|46002|46014|46122|46038|46026|46338|46227|46182|46008|46086|46287|46215|46197|46275|46020|46044|46065|46344|46302|46260|46263|46248|46350|46299|46320|46257|46242|46125|46092|46077|46284|46221|46200|46119|46107|46209|46203|45999|46071|46083|46374|46140|46191|46377|46233|46179","3.08E-25","","GO:0010033","2.2129011186239422","0"
"1723","56","GO Biological Process","","Tissue development","8.95E-23","CYP27B1|NANOG|EGR1|EGR2|SOX9|RARA|SMAD2|MAPK3|EPAS1|TP63|CASP6|SRF|GATA6|TP53|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|REST|EZH2|GSK3B|PGR|RARB|SMAD3|ATF4|JARID2|GATA2|ETS2|KDM5B|JUN|RUNX2|YBX1|ATRX|NR5A1|TFDP1|KLF5|WT1|GATA3|E2F4|NR2F2|RELA|PPARA|RARG|LATS1|HIF1A|HNF1A|SP7|AKT1|MEF2A|MYC|PITX2|CTNNB1|DLX5|TFAP2A","45910","46101|46245|46296|46251|46239|46323|46113|46029|46386|46128|46167|46368|46278|46335|46194|46272|46053|46317|46002|46014|46122|46026|46338|46227|46287|46215|46197|46275|46044|46032|46344|46302|46260|46248|46299|46320|46341|46257|46242|46125|46362|46077|46200|46119|46107|45999|46071|46083|46059|46374|46170|46191|46308|46233|46179|46056","3.77E-25","","GO:0009888","2.204817696468409","0"
"1669","55","GO Biological Process","","Regulation of cell population proliferation","1.47E-22","CYP27B1|NANOG|EGR1|AHR|IRF1|SOX9|RARA|SMAD2|E2F3|MAPK3|STAT3|TP63|SRF|GATA6|TP53|RUNX1|JUNB|CEBPB|SMAD1|REST|STAT2|EZH2|PGR|SP1|RARB|SMAD3|CDK10|JARID2|FOXM1|E2F1|GATA2|KDM5B|JUN|RUNX2|TFDP1|SF1|WT1|GATA3|E2F4|ETS1|NR2F2|NFATC2|RELA|RARG|MITF|HMGA1|HIPK1|HSF1|HIF1A|AKT1|MYC|NR4A3|CTNNB1|DLX5|TFAP2A","45910","46101|46245|46296|46206|46329|46239|46323|46113|46074|46029|46305|46128|46368|46278|46335|46194|46272|46053|46317|46122|46038|46026|46227|46182|46287|46215|46281|46275|46158|46020|46044|46344|46302|46260|46341|46110|46242|46125|46362|46290|46077|46347|46200|46107|46146|46152|46149|46203|46071|46374|46191|46377|46233|46179|46056","6.37E-25","","GO:0042127","2.1832682665251824","0"
"518","35","GO Biological Process","","Transcription, DNA-templated","1.58E-22","NFKB1|IRF1|SOX9|RARA|SMAD2|E2F3|MAPK3|EPAS1|STAT3|TP63|SRF|TP53|CEBPB|SMAD1|FOS|ATF4|E2F1|GATA2|NFYA|WWP2|MTF1|ATRX|NR5A1|TFDP1|GATA3|ETS1|NFATC2|RELA|CBFB|HSF1|HNF1A|MEF2A|GTF2I|NR1H3|CTNNB1","45910","46254|46329|46239|46323|46113|46074|46029|46386|46305|46128|46368|46335|46053|46317|46002|46197|46020|46044|46134|46212|46116|46299|46320|46341|46125|46290|46347|46200|46269|46203|46083|46170|46104|46140|46233","6.97E-25","","GO:0006351","2.1801342913045576","0"
"48","18","GO Biological Process","","Positive regulation of miRNA transcription","1.72E-22","SPI1|EGR1|STAT3|SRF|TP53|SMAD1|FOS|SMAD3|MYB|GATA2|JUN|KLF5|WT1|GATA3|ETS1|RELA|HIF1A|MYC","45910","46314|46296|46305|46368|46335|46317|46002|46215|46332|46044|46302|46257|46242|46125|46290|46200|46071|46191","7.78E-25","","GO:1902895","2.176447155309245","0"
