"","P16902_146","P16902_147","P16902_148","P16902_144","P16902_145","P16902_149"
"KIAA0020",9.26721227218681,9.51401000680911,9.45528195302108,9.23344241606941,9.20219233311756,9.39987645987423
"CHRNA3",7.81122104803822,7.65158864104377,6.41583398350578,8.25417738004072,7.39394288903325,8.4849163748375
"KCNN2",6.68580357978683,6.75796460995273,6.74960856768488,6.52481329577584,7.20457967841515,6.15160304901779
"CNOT4",9.43074090385078,9.55675660479095,9.58075482190222,9.38421531582686,9.62563915275321,9.42055852203972
"PSEN1",10.399865452717,10.4333712385956,10.43748832202,10.7968783020582,10.6161826431971,11.1324757159954
"CPOX",8.1845265564615,8.15497164171249,8.0347402825363,8.23137932875426,8.2842653339578,8.375008746827
"CLDND1",10.2805591484619,10.2760617350461,10.1049109635847,10.2898419489583,10.32837400757,10.41502532472
"MOK",9.28241204623931,9.36632031032236,9.02181589353066,9.87000747075552,9.42999855131585,10.5371655072768
"HSP90AA1",13.3843499478354,13.411947708711,13.1913929830941,13.2251327683383,13.4911356788581,13.4225173244337
"RBL1",8.79287503142726,8.82519898215955,8.97218424115071,8.95553414058716,9.03201534082737,8.64316590535277
"DLGAP4",10.2439609130473,10.2185224141391,10.4810392461132,9.80920070957923,10.2160812950464,9.02415147894233
"IGSF9B",9.06717462180755,8.88569271606989,9.50201546713426,8.4484538693029,8.48209271024696,8.46009837150516
