"ID","statistic","log2FoldChange","padj"
"HCCS",1.25944229519926,0.232257519430075,0.475972375432326
"DVL2",3.0591390247922,0.643450877081191,0.0325175289817632
"UPF1",1.60489691281411,0.404028301309009,0.339202559687007
"SKAP2",-1.20646360533504,-0.461583851082405,0.498880378009808
"SLC25A5",1.35854077764608,0.299238557388007,0.434284656851156
"CCDC109B",3.68354669226412,2.08654502786996,0.00655269397797257
"POLR2J",2.82368345127398,0.73529723593593,0.0542172814726655
"DHX33",0.468034188904102,0.119847249404243,0.828065885087784
"THSD7A",-0.765596044399401,-0.215544793648193,0.695786617090296
"LIG3",0.507701876832217,0.0773622951750745,0.811155372406678
"RPAP3",0.368726207455852,0.0892873034371096,0.866890935725346
"ACSM3",1.16622045445677,0.593566111276253,0.515852850027887
"CIAPIN1",1.39630941730764,0.194797794290291,0.419110230156704
"SPPL2B",2.39304322644019,0.628545751977724,0.117559366290209
"FAM214B",1.33141524190884,0.233348385855149,0.447142813396785
"COPZ2",2.92345956188359,2.06717626883155,0.0442610238386948
"PRKAR2B",-1.01684704440472,-0.444131977121244,0.581287106596275
"MSL3",2.16927266930386,0.385758270269315,0.167190311399276
"CREBBP",-1.34008668940122,-0.322707465787129,0.443460544828195
"BZRAP1",-0.485619281398261,-0.235929202019994,0.820922356650515
"PON1",0.153375444040526,0.154167409710439,0.949523535567848
"GCFC2",0.761606478257753,0.266083100861596,0.697604033922368
"WDR54",3.14792907175901,1.21051290920684,0.0262239649308485
"CROT",-0.507822935513032,-0.170437297755181,0.811155372406678
"ABCB4",-0.924899455832485,-0.646192300434644,0.623054070016281
"KMT2E",-1.66043634380577,-0.423760216087536,0.319359903943597
"RHBDD2",2.32728704617149,0.412121705987165,0.131024206866364
"SOX8",-1.87414622819342,-1.12874123894643,0.248105336767389
"IBTK",-0.632855644147045,-0.0950467597473704,0.757592565853297
"ZNF195",-1.62088597610883,-0.293387211244748,0.333409303843167
"MYCBP2",-2.00964849467168,-0.680629399276749,0.209214852090182
"FBXL3",-0.840982524371027,-0.135214024082704,0.6624983727116
"PDK2",2.37983778501689,0.398387686595253,0.119972885790323
"ITGA3",-1.38948823994698,-0.568290118950515,0.422362903088544
"ZFX",-0.0408871116226925,-0.0075951448172128,0.985830489542037
"LAMP2",1.58432185538197,0.631872000044441,0.34665062768471
"GGNBP2",0.408945732655027,0.0572829884104469,0.852071170232492
"ITGA2B",-0.948126620503505,-0.331753691259035,0.612618251677695
"ASB4",-0.479271141318103,-0.338829028691881,0.823733977123733
"GDE1",1.41296077410554,0.341397905318654,0.412889174485335
"C19orf60",0.753226319658999,0.313204091188248,0.701151295024769
"CRLF1",0.864746991230039,0.487366527752581,0.650577098989512
"OSBPL7",0.23984266007312,0.0696842020497666,0.915413706147637
"TMEM98",1.78346963305477,0.799754734118949,0.276929385593636
"YBX2",-0.159153385604739,-0.0762102179571715,0.947352693253027
"MAP3K14",1.2977969613177,0.342644363895534,0.460855136489551
"ABCC8",-4.24210809193977,-1.70048961262412,0.00108345466914849
"SYNRG",0.00252111216064658,0.000426585560146189,0.999040909643212
"CACNG3",-3.05077187708651,-5.54485662102919,0.0331098931760259
"TMEM132A",0.495970503226101,0.172417629144744,0.815577112565839
"AP2B1",-0.954790767032341,-0.187773969826537,0.609852440089404
"TAC1",-2.80567582498562,-2.38369301271005,0.0562836217586818
"ZNF263",1.04705017917971,0.15461880286044,0.567506191050031
"CX3CL1",-2.12593444179629,-0.60099717134339,0.177737014134423
"SPATA20",2.60773471787606,0.847234078849683,0.0817130633413055
"CACNA1G",-0.899282205817358,-0.566314361043031,0.635830249245384
"TNFRSF12A",3.14864126843279,2.6115321277009,0.0261777377624793
"MAP3K9",-2.20493128152726,-0.796117152410029,0.158585436801246
"RALA",-0.569267406883533,-0.12180625204358,0.785443626190657
"BAIAP2L1",0.616490376678246,0.45050405741029,0.764401434140812
"KDM7A",1.04917297596293,0.275291735366197,0.566628152204745
"ETV1",-0.664930571327655,-0.201189725948806,0.74203989597712
"AGK",-0.605419623607659,-0.129195102679783,0.769173786113773
