,CD28_146,CD28_147,CD28_148,AD28_144,AD28_145,AD28_149
AAAS,10.16983132,9.850101092,10.02117147,10.49688758,10.45420203,10.40665535
CBX5,14.28051057,14.48744609,14.40259079,14.31891179,14.31800821,14.45024595
SUCO,12.04092413,12.10443645,11.96199466,11.97503401,11.8643973,12.55438388
MSH2,11.33658446,11.51161881,11.68125615,11.55327341,11.28242972,11.63001432
MAP3K1,10.30877578,10.50178022,10.41237807,10.57754911,10.31122022,10.74743182
DHPS,10.38081722,10.11553795,10.10378596,10.44074676,10.56854561,9.925713935
HOOK2,8.260762143,8.092775038,8.181009234,7.941247749,8.227249072,7.410450311
ARCN1,11.80267903,11.78963189,11.61307623,11.84094284,11.80791282,12.0875821
EPB41L4B,10.21402698,10.43405095,10.03326741,9.415768563,9.88794398,8.158472139
TMEM38B,8.499087787,8.616197693,8.894759491,8.701901641,8.454010469,8.816326688
PSMD5,8.882113689,8.907685248,8.403262685,9.312675274,9.16977817,9.781741945
PTGS1,5.470478917,5.21011239,4.833164646,6.74439186,5.377390354,7.214828148
NUP188,10.36620453,10.23253003,10.57011002,10.64799906,10.45334566,10.61301336
CRAT,9.6919647,9.432739197,9.407016498,9.790103671,9.838936171,9.564239911
SH2D3C,9.092357011,8.605009003,8.808077909,8.55405466,9.163500794,7.426941997
NANS,8.786373114,8.774328135,8.195510199,8.481454383,8.50466825,8.408747568
TBC1D2,6.872923561,6.699073852,7.063532576,6.918460737,7.31514143,6.401271305
DFNB31,7.773229614,7.657252896,7.882073809,7.760539754,7.86704501,8.062497215
CWF19L1,9.753171202,9.775746078,9.718127235,9.779274481,9.699945211,9.773834358
SEMA4G,8.997421851,8.952463414,8.690528484,8.041998244,8.563183147,7.848614288
BTAF1,11.95769974,11.98941492,12.08760857,12.09505008,12.07414147,12.18346519
IKZF5,9.065434968,9.057295075,9.131011728,8.883968721,8.889414266,9.222156371
TLL2,6.872923561,6.527144876,7.943662076,6.775024736,7.291885008,6.611863196
CYP26A1,8.430255013,8.543814468,9.232519213,11.0139032,8.259119925,12.37246389
SORBS1,11.74314783,11.96417696,11.86723618,11.87268529,11.56362208,12.24991942
BAMBI,6.753469735,6.592321572,6.583274337,9.319339507,7.375319959,10.79662933
IL11,6.195785568,5.730179714,6.144979574,5.954244296,6.212961211,5.303416461
MYO3A,6.14632671,6.205280223,5.756666096,7.598352964,5.933743299,7.581973362
WAC,12.03439383,12.14189775,11.92569988,11.99647862,12.03089329,12.17178498
CREM,8.92269893,8.864594316,8.649103165,8.657809501,8.354365669,9.090712808
NUBP2,8.411326429,7.992907962,8.730791018,8.737222079,8.797735987,8.358684698
HIVEP1,11.30820357,11.428643,11.23450252,11.1647566,11.28580046,11.15896165
FKBP5,6.872923561,6.770349905,6.980241599,7.143611385,6.566006377,6.818865205
SRPK1,11.59648204,11.7258471,11.32662963,11.40860661,11.60853749,11.03615426
BRPF3,9.929228492,10.06214385,10.5756332,9.944550861,10.02339076,9.722171414
MRPS18A,9.296465352,9.0015804,9.38829129,9.618442632,9.357429869,9.508134234
TMEM14A,10.6903778,10.5256411,10.12654582,10.12261933,10.31782256,9.773834358
EFHC1,10.53683775,10.5276118,10.6190732,11.65971995,10.85584934,12.59060001
HSP90AB1,14.55247966,14.51539019,14.11257135,14.4199657,14.51051398,14.48919656
CDC5L,11.8929268,11.90704854,11.66839246,11.92871754,11.87018262,11.9554761
ITPR3,6.243290806,6.018260461,6.511874125,5.738310321,6.525168911,5.635717034
ZNF184,10.10676148,10.07837076,9.944249418,10.06633275,9.894270057,10.00350131
SIRT1,10.12568465,10.2505414,10.37009358,10.23253154,10.26608955,10.19564723
HNRNPH3,10.36620453,10.4957528,10.44291937,10.45215115,10.86618026,10.68558463
IFT74,9.236070802,9.368165842,9.193491025,9.55494379,9.182251332,10.25250244
JAK2,10.97187655,11.19941747,11.09725899,10.41222417,10.69997766,10.28178403
ABL1,11.2463893,11.14590549,11.54080772,11.49786913,11.49621719,11.51097744
ACOT7,10.73370829,10.24815284,10.58934929,10.51512577,11.0552485,9.353247943
SH3GLB1,12.71190099,12.8317832,12.65732993,12.29106331,12.44938683,11.97594205
CDC7,9.782826233,9.72510097,9.6594897,10.08989089,10.00129124,9.690596451
SYDE2,6.942518541,6.889757489,7.5260397,7.558991927,6.63133294,9.090712808
